gender,distance_m,age,factor
F,400,91,0.4721
F,400,92,0.4569
F,400,93,0.4413
F,400,94,0.4254
F,400,95,0.4090
F,400,96,0.3923
F,400,97,0.3753
F,400,98,0.3579
F,400,99,0.3400
F,400,100,0.3219
F,400,101,0.3033
F,400,102,0.2844
F,400,103,0.2652
F,400,104,0.2455
F,400,105,0.2255
F,400,106,0.2051
F,400,107,0.1844
F,400,108,0.1633
F,400,109,0.1418
F,400,110,0.1200
F,800,20,1.0000
F,800,21,1.0000
F,800,22,1.0000
F,800,23,1.0000
F,800,24,1.0000
F,800,25,1.0000
F,800,26,1.0000
F,800,27,1.0000
F,800,28,1.0000
F,800,29,1.0000
F,800,30,1.0000
F,800,31,1.0000
F,800,32,1.0000
F,800,33,1.0000
F,800,34,1.0000
F,800,35,0.9929
F,800,36,0.9857
F,800,37,0.9784
F,800,38,0.9710
F,800,39,0.9637
F,800,40,0.9563
F,800,41,0.9490
F,800,42,0.9415
F,800,43,0.9341
F,800,44,0.9267
F,800,45,0.9192
F,800,46,0.9117
F,800,47,0.9041
F,800,48,0.8966
F,800,49,0.8890
F,800,50,0.8814
F,800,51,0.8738
F,800,52,0.8662
F,800,53,0.8585
F,800,54,0.8509
F,800,55,0.8432
F,800,56,0.8355
F,800,57,0.8277
F,800,58,0.8200
F,800,59,0.8122
F,800,60,0.8044
F,800,61,0.7966
F,800,62,0.7888
F,800,63,0.7809
F,800,64,0.7730
F,800,65,0.7651
F,800,66,0.7572
F,800,67,0.7493
F,800,68,0.7414
F,800,69,0.7334
F,800,70,0.7254
F,800,71,0.7174
F,800,72,0.7094
F,800,73,0.7014
F,800,74,0.6933
F,800,75,0.6848
F,800,76,0.6758
F,800,77,0.6664
F,800,78,0.6565
F,800,79,0.6462
F,800,80,0.6354
F,800,81,0.6241
F,800,82,0.6124
F,800,83,0.6003
F,800,84,0.5876
F,800,85,0.5746
F,800,86,0.5610
F,800,87,0.5471
F,800,88,0.5326
F,800,89,0.5177
F,800,90,0.5024
F,800,91,0.4866
F,800,92,0.4703
F,800,93,0.4536
F,800,94,0.4364
F,800,95,0.4188
F,800,96,0.4007
F,800,97,0.3822
F,800,98,0.3632
F,800,99,0.3438
F,800,100,0.3239
F,800,101,0.3035
F,800,102,0.2827
F,800,103,0.2615
F,800,104,0.2398
F,800,105,0.2176
F,800,106,0.1950
F,800,107,0.1719
F,800,108,0.1484
F,800,109,0.1244
F,800,110,0.1000
F,1000,20,1.0000
F,1000,21,1.0000
F,1000,22,1.0000
F,1000,23,1.0000
F,1000,24,1.0000
F,1000,25,1.0000
F,1000,26,1.0000
F,1000,27,1.0000
F,1000,28,1.0000
F,1000,29,1.0000
F,1000,30,1.0000
F,1000,31,1.0000
F,1000,32,1.0000
F,1000,33,1.0000
F,1000,34,1.0000
F,1000,35,0.9995
F,1000,36,0.9921
F,1000,37,0.9847
F,1000,38,0.9773
F,1000,39,0.9698
F,1000,40,0.9624
F,1000,41,0.9549
F,1000,42,0.9474
F,1000,43,0.9399
F,1000,44,0.9324
F,1000,45,0.9248
F,1000,46,0.9173
F,1000,47,0.9097
F,1000,48,0.9021
F,1000,49,0.8945
F,1000,50,0.8869
F,1000,51,0.8792
F,1000,52,0.8716
F,1000,53,0.8639
F,1000,54,0.8562
F,1000,55,0.8485
F,1000,56,0.8408
F,1000,57,0.8330
F,1000,58,0.8253
F,1000,59,0.8175
F,1000,60,0.8098
F,1000,61,0.8020
F,1000,62,0.7942
F,1000,63,0.7863
F,1000,64,0.7785
F,1000,65,0.7706
F,1000,66,0.7628
F,1000,67,0.7549
F,1000,68,0.7470
F,1000,69,0.7391
F,1000,70,0.7312
F,1000,71,0.7232
F,1000,72,0.7153
F,1000,73,0.7073
F,1000,74,0.6992
F,1000,75,0.6906
F,1000,76,0.6816
F,1000,77,0.6720
F,1000,78,0.6620
F,1000,79,0.6516
F,1000,80,0.6407
F,1000,81,0.6292
F,1000,82,0.6174
F,1000,83,0.6051
F,1000,84,0.5922
F,1000,85,0.5790
F,1000,86,0.5652
F,1000,87,0.5510
F,1000,88,0.5363
F,1000,89,0.5212
F,1000,90,0.5056
F,1000,91,0.4895
F,1000,92,0.4729
F,1000,93,0.4559
F,1000,94,0.4384
F,1000,95,0.4205
F,1000,96,0.4020
F,1000,97,0.3831
F,1000,98,0.3638
F,1000,99,0.3440
F,1000,100,0.3237
F,1000,101,0.3029
F,1000,102,0.2816
F,1000,103,0.2599
F,1000,104,0.2377
F,1000,105,0.2151
F,1000,106,0.1919
F,1000,107,0.1683
F,1000,108,0.1442
F,1000,109,0.1195
F,1000,110,0.0943
F,1500,20,1.0000
F,1500,21,1.0000
F,1500,22,1.0000
F,1500,23,1.0000
F,1500,24,1.0000
F,1500,25,1.0000
F,1500,26,1.0000
F,1500,27,1.0000
F,1500,28,1.0000
F,1500,29,1.0000
F,1500,30,1.0000
F,1500,31,1.0000
F,1500,32,1.0000
F,1500,33,0.9960
F,1500,34,0.9886
F,1500,35,0.9812
F,1500,36,0.9738
F,1500,37,0.9664
F,1500,38,0.9590
F,1500,39,0.9515
F,1500,40,0.9441
F,1500,41,0.9367
F,1500,42,0.9293
F,1500,43,0.9218
F,1500,44,0.9144
F,1500,45,0.9069
F,1500,46,0.8995
F,1500,47,0.8921
F,1500,48,0.8846
F,1500,49,0.8772
F,1500,50,0.8697
F,1500,51,0.8623
F,1500,52,0.8548
F,1500,53,0.8473
F,1500,54,0.8399
F,1500,55,0.8324
F,1500,56,0.8249
F,1500,57,0.8175
F,1500,58,0.8100
F,1500,59,0.8025
F,1500,60,0.7951
F,1500,61,0.7876
F,1500,62,0.7801
F,1500,63,0.7726
F,1500,64,0.7651
F,1500,65,0.7576
F,1500,66,0.7501
F,1500,67,0.7427
F,1500,68,0.7352
F,1500,69,0.7277
F,1500,70,0.7202
F,1500,71,0.7127
F,1500,72,0.7052
F,1500,73,0.6976
F,1500,74,0.6897
F,1500,75,0.6812
F,1500,76,0.6722
F,1500,77,0.6628
F,1500,78,0.6529
F,1500,79,0.6425
F,1500,80,0.6316
F,1500,81,0.6202
F,1500,82,0.6083
F,1500,83,0.5960
F,1500,84,0.5832
F,1500,85,0.5698
F,1500,86,0.5561
F,1500,87,0.5418
F,1500,88,0.5270
F,1500,89,0.5118
F,1500,90,0.4960
F,1500,91,0.4798
F,1500,92,0.4631
F,1500,93,0.4460
F,1500,94,0.4283
F,1500,95,0.4102
F,1500,96,0.3915
F,1500,97,0.3724
F,1500,98,0.3528
F,1500,99,0.3327
F,1500,100,0.3122
F,1500,101,0.2911
F,1500,102,0.2696
F,1500,103,0.2476
F,1500,104,0.2251
F,1500,105,0.2021
F,1500,106,0.1787
F,1500,107,0.1547
F,1500,108,0.1303
F,1500,109,0.1054
F,1500,110,0.0800
M,100,20,1.0000
M,100,21,1.0000
M,100,22,1.0000
M,100,23,1.0000
M,100,24,1.0000
M,100,25,1.0000
M,100,26,1.0000
M,100,27,1.0000
M,100,28,1.0000
M,100,29,1.0000
M,100,30,1.0000
M,100,31,1.0000
M,100,32,1.0000
M,100,33,1.0000
M,100,34,1.0000
M,100,35,0.9999
M,100,36,0.9932
M,100,37,0.9866
M,100,38,0.9799
M,100,39,0.9733
M,100,40,0.9668
M,100,41,0.9602
M,100,42,0.9537
M,100,43,0.9473
M,100,44,0.9409
M,100,45,0.9345
M,100,46,0.9281
M,100,47,0.9218
M,100,48,0.9155
M,100,49,0.9093
M,100,50,0.9031
M,100,51,0.8969
M,100,52,0.8908
M,100,53,0.8847
M,100,54,0.8786
M,100,55,0.8726
M,100,56,0.8666
M,100,57,0.8606
M,100,58,0.8546
M,100,59,0.8487
M,100,60,0.8429
M,100,61,0.8370
M,100,62,0.8312
M,100,63,0.8254
M,100,64,0.8197
M,100,65,0.8139
M,100,66,0.8083
M,100,67,0.8026
M,100,68,0.7970
M,100,69,0.7914
M,100,70,0.7858
M,100,71,0.7803
M,100,72,0.7748
M,100,73,0.7693
M,100,74,0.7638
M,100,75,0.7584
M,100,76,0.7530
M,100,77,0.7477
M,100,78,0.7423
M,100,79,0.7370
M,100,80,0.7317
M,100,81,0.7257
M,100,82,0.7190
M,100,83,0.7116
M,100,84,0.7035
M,100,85,0.6946
M,100,86,0.6850
M,100,87,0.6747
M,100,88,0.6637
M,100,89,0.6520
M,100,90,0.6396
M,100,91,0.6264
M,100,92,0.6125
M,100,93,0.5980
