gender,distance_m,open_seconds
F,100,10.49
F,200,21.34
F,400,47.6
F,800,113.28
F,1000,148.98
F,1500,228.68
M,100,9.58
M,200,19.19
M,400,43.03
M,800,100.91
M,1000,131.96
M,1500,206
